sec,CH1,CH40,
0.953,-0.0671387,0,
0.954,-0.0680542,0,
0.955,-0.0695801,0,
0.956,-0.0714111,0,
0.957,-0.0732422,0,
0.958,-0.0756836,0,
0.959,-0.078125,0,
0.96,-0.0805664,0,
0.961,-0.083313,0,
0.962,-0.0863647,0,
0.963,-0.0894165,0,
0.964,-0.0921631,0,
0.965,-0.0949097,0,
0.966,-0.0973511,0,
0.967,-0.0994873,0,
0.968,-0.101318,0,
0.969,-0.102844,0,
0.97,-0.10437,0,
0.971,-0.105591,0,
0.972,-0.106506,0,
0.973,-0.107117,0,
0.974,-0.107117,0,
0.975,-0.106812,0,
0.976,-0.105896,0,
0.977,-0.104675,0,
0.978,-0.103149,0,
0.979,-0.101318,0,
0.98,-0.0994873,0,
0.981,-0.0976563,0,
0.982,-0.0958252,0,
0.983,-0.093689,0,
0.984,-0.0918579,0,
0.985,-0.090332,0,
0.986,-0.0888062,0,
0.987,-0.0875854,0,
0.988,-0.0869751,0,
0.989,-0.0863647,0,
0.99,-0.0860596,0,
0.991,-0.0857544,0,
0.992,-0.0854492,0,
0.993,-0.0854492,0,
0.994,-0.0854492,0,
0.995,-0.0857544,0,
0.996,-0.0863647,0,
0.997,-0.0875854,0,
0.998,-0.0888062,0,
0.999,-0.090332,0,
1,-0.0918579,0,
1.001,-0.0933838,0,
1.002,-0.0952148,0,
1.003,-0.0970459,0,
1.004,-0.0994873,0,
1.005,-0.101624,0,
1.006,-0.104065,0,
1.007,-0.106201,0,
1.008,-0.108337,0,
1.009,-0.110474,0,
1.01,-0.11261,0,
1.011,-0.114441,0,
1.012,-0.116272,0,
1.013,-0.117493,0,
1.014,-0.118408,0,
1.015,-0.118713,0,
1.016,-0.118408,0,
1.017,-0.117798,0,
1.018,-0.116272,0,
1.019,-0.113525,0,
1.02,-0.110474,0,
1.021,-0.106506,0,
1.022,-0.102234,0,
1.023,-0.0973511,0,
1.024,-0.0921631,0,
1.025,-0.0860596,0,
1.026,-0.0796509,0,
1.027,-0.0720215,0,
